,account_key,status,join_date,cancel_date,days_to_cancel,is_udacity,is_canceled
0,448,canceled,2014-11-10,2015-01-14,65.0,True,True
1,448,canceled,2014-11-05,2014-11-10,5.0,True,True
2,448,canceled,2015-01-27,2015-01-27,0.0,True,True
3,448,canceled,2014-11-10,2014-11-10,0.0,True,True
4,448,current,2015-03-10,,,True,False
5,448,canceled,2015-01-14,2015-01-27,13.0,True,True
6,448,canceled,2015-01-27,2015-03-10,42.0,True,True
7,448,canceled,2015-01-27,2015-01-27,0.0,True,True
8,448,canceled,2015-01-27,2015-01-27,0.0,True,True
9,700,canceled,2014-11-10,2014-11-16,6.0,False,True
10,429,canceled,2014-11-10,2015-03-10,120.0,False,True
11,429,canceled,2015-03-10,2015-06-17,99.0,False,True
12,60,canceled,2014-11-10,2015-01-14,65.0,False,True
13,60,canceled,2015-01-14,2015-04-01,77.0,False,True
14,60,current,2015-04-01,,,False,False
15,1300,canceled,2014-11-10,2014-11-16,6.0,False,True
16,369,current,2014-11-10,,,False,False
17,322,canceled,2014-11-10,2015-02-02,84.0,False,True
18,322,canceled,2015-02-12,2015-02-12,0.0,False,True
19,322,canceled,2015-02-12,2015-03-10,26.0,False,True
20,322,current,2015-03-10,,,False,False
21,336,current,2014-11-10,,,False,False
22,553,current,2014-11-10,,,False,False
23,584,canceled,2014-11-10,2015-01-14,65.0,False,True
24,584,canceled,2015-01-14,2015-03-10,55.0,False,True
25,584,current,2015-03-10,,,False,False
26,1006,canceled,2014-11-10,2014-11-17,7.0,False,True
27,458,canceled,2014-11-10,2015-04-01,142.0,False,True
28,458,canceled,2015-04-04,2015-04-06,2.0,False,True
29,458,current,2015-04-06,,,False,False
30,1058,canceled,2014-11-10,2015-01-14,65.0,False,True
31,1058,canceled,2015-01-14,2015-03-10,55.0,False,True
32,1058,current,2015-03-10,,,False,False
33,206,current,2014-11-10,,,False,False
34,45,canceled,2014-11-10,2015-03-10,120.0,False,True
35,45,current,2015-03-10,,,False,False
36,315,canceled,2014-11-10,2015-05-17,188.0,False,True
37,604,current,2014-11-10,,,False,False
38,204,current,2014-11-10,,,False,False
39,408,canceled,2014-11-10,2015-03-10,120.0,False,True
40,408,canceled,2015-03-10,2015-04-01,22.0,False,True
41,408,canceled,2015-04-01,2015-04-17,16.0,False,True
42,51,canceled,2014-11-10,2015-03-10,120.0,False,True
43,51,canceled,2015-03-10,2015-06-17,99.0,False,True
44,323,canceled,2014-11-10,2015-04-17,158.0,False,True
45,568,current,2014-11-10,,,False,False
46,130,canceled,2014-11-10,2015-03-10,120.0,False,True
47,130,canceled,2015-03-10,2015-04-01,22.0,False,True
48,130,canceled,2015-04-01,2015-06-17,77.0,False,True
49,550,canceled,2014-11-10,2015-05-02,173.0,False,True
50,550,canceled,2015-05-28,2015-07-04,37.0,False,True
51,44,canceled,2014-11-10,2015-03-10,120.0,False,True
52,44,current,2015-03-10,,,False,False
53,1020,canceled,2014-11-10,2014-11-15,5.0,False,True
54,838,canceled,2014-11-10,2014-11-11,1.0,False,True
55,198,current,2014-11-10,,,False,False
56,368,current,2014-11-10,,,False,False
57,440,canceled,2014-11-11,2015-02-18,99.0,False,True
58,675,canceled,2014-11-11,2014-11-16,5.0,False,True
59,57,canceled,2014-11-11,2015-02-18,99.0,False,True
60,57,current,2015-05-06,,,False,False
61,1090,canceled,2014-11-11,2014-11-26,15.0,False,True
62,541,canceled,2014-11-12,2015-06-19,219.0,False,True
63,756,canceled,2014-11-12,2014-11-15,3.0,False,True
64,756,canceled,2014-11-15,2015-01-15,61.0,False,True
65,1219,canceled,2014-11-12,2014-11-12,0.0,False,True
66,101,canceled,2014-11-12,2015-04-20,159.0,False,True
67,1021,canceled,2014-11-12,2014-11-17,5.0,False,True
68,1108,canceled,2014-11-12,2014-11-16,4.0,False,True
69,800,canceled,2014-11-12,2014-11-14,2.0,False,True
70,800,canceled,2015-03-04,2015-05-11,68.0,False,True
71,702,canceled,2014-11-13,2014-11-15,2.0,False,True
72,702,canceled,2014-11-15,2015-01-14,60.0,False,True
73,702,canceled,2015-01-14,2015-03-10,55.0,False,True
74,702,current,2015-03-10,,,False,False
75,871,canceled,2014-11-13,2014-11-13,0.0,False,True
76,38,current,2014-11-14,,,False,False
77,215,current,2014-11-14,,,False,False
78,744,canceled,2014-11-14,2014-12-21,37.0,False,True
79,217,canceled,2014-11-14,2014-11-15,1.0,False,True
80,217,canceled,2014-11-15,2015-03-10,115.0,False,True
81,217,current,2015-03-10,,,False,False
