,creation_date,completion_date,assigned_rating,account_key,lesson_key,processing_state
0,2015-01-14,2015-01-16,UNGRADED,256,3176718735,EVALUATED
1,2015-01-10,2015-01-13,INCOMPLETE,256,3176718735,EVALUATED
2,2015-01-20,2015-01-20,PASSED,256,3176718735,EVALUATED
3,2015-03-10,2015-03-13,PASSED,434,3176718735,EVALUATED
4,2015-02-17,2015-03-03,INCOMPLETE,434,3176718735,EVALUATED
5,2015-04-06,2015-04-06,INCOMPLETE,381,3176718735,EVALUATED
6,2015-07-26,2015-07-28,INCOMPLETE,381,3165188753,EVALUATED
7,2015-05-31,2015-06-02,PASSED,381,3168208620,EVALUATED
8,2015-07-29,2015-07-29,PASSED,381,3165188753,EVALUATED
9,2015-07-29,2015-07-29,INCOMPLETE,381,3165188753,EVALUATED
10,2015-04-07,2015-04-13,PASSED,381,3176718735,EVALUATED
11,2015-04-06,2015-04-06,INCOMPLETE,381,3176718735,EVALUATED
12,2015-04-05,2015-04-05,INCOMPLETE,381,3176718735,EVALUATED
13,2015-01-13,2015-01-23,PASSED,378,3176718735,EVALUATED
14,2015-03-19,2015-04-02,PASSED,23,3174288624,EVALUATED
15,2015-01-29,2015-02-11,PASSED,23,3176718735,EVALUATED
16,2015-01-29,2015-02-03,INCOMPLETE,23,3165188753,EVALUATED
17,2015-01-08,2015-01-21,INCOMPLETE,23,3176718735,EVALUATED
18,2014-12-24,2015-01-07,INCOMPLETE,23,3176718735,EVALUATED
19,2015-02-11,2015-02-25,INCOMPLETE,23,3168208620,EVALUATED
20,2015-02-26,2015-03-11,PASSED,23,3168208620,EVALUATED
21,2015-02-06,2015-02-19,PASSED,23,3165188753,EVALUATED
22,2015-07-23,2015-07-31,INCOMPLETE,616,4110338963,EVALUATED
23,2015-07-21,2015-07-21,PASSED,616,3184238632,EVALUATED
24,2015-07-10,2015-07-11,INCOMPLETE,616,3174288624,EVALUATED
25,2015-07-18,2015-07-18,INCOMPLETE,616,3184238632,EVALUATED
26,2015-06-11,2015-06-11,INCOMPLETE,616,3176718735,EVALUATED
27,2015-06-10,2015-06-10,INCOMPLETE,616,3168208620,EVALUATED
28,2015-07-20,2015-07-21,INCOMPLETE,616,3184238632,EVALUATED
29,2015-07-14,2015-07-15,PASSED,616,3174288624,EVALUATED
30,2015-06-12,2015-06-12,PASSED,616,3168208620,EVALUATED
31,2015-07-31,2015-08-04,PASSED,616,4110338963,EVALUATED
32,2015-06-22,2015-06-23,INCOMPLETE,616,3165188753,EVALUATED
33,2015-06-11,2015-06-12,PASSED,616,3176718735,EVALUATED
34,2015-06-29,2015-06-29,PASSED,616,3165188753,EVALUATED
35,2015-06-26,2015-06-26,INCOMPLETE,616,3165188753,EVALUATED
36,2015-06-05,2015-06-09,INCOMPLETE,616,3176718735,EVALUATED
37,2014-12-31,2015-01-15,PASSED,223,3176718735,EVALUATED
38,2015-03-10,2015-03-18,PASSED,223,3168208620,EVALUATED
39,2015-01-12,2015-01-21,INCOMPLETE,152,3176718735,EVALUATED
40,2015-03-09,2015-03-19,DISTINCTION,152,3168208620,EVALUATED
41,2015-03-05,2015-03-09,PASSED,152,3176718735,EVALUATED
42,2015-08-12,2015-08-12,PASSED,1098,3174288624,EVALUATED
43,2015-08-11,2015-08-12,INCOMPLETE,1098,3174288624,EVALUATED
44,2015-08-06,2015-08-06,INCOMPLETE,1098,3174288624,EVALUATED
45,2015-07-28,2015-07-29,INCOMPLETE,1098,3174288624,EVALUATED
46,2015-05-03,2015-05-04,INCOMPLETE,1098,3165188753,EVALUATED
47,2015-03-10,2015-03-11,UNGRADED,1098,3168208620,EVALUATED
48,2015-08-10,2015-08-11,INCOMPLETE,1098,3174288624,EVALUATED
49,2015-01-12,2015-01-26,INCOMPLETE,1098,3176718735,EVALUATED
50,2015-03-11,2015-03-26,PASSED,1098,3168208620,EVALUATED
51,2015-05-25,2015-05-28,INCOMPLETE,273,3165188753,EVALUATED
52,2015-02-03,2015-02-17,INCOMPLETE,273,3176718735,EVALUATED
53,2015-01-12,2015-01-26,INCOMPLETE,273,3176718735,EVALUATED
54,2015-03-24,2015-04-07,PASSED,273,3176718735,EVALUATED
55,2015-03-10,2015-03-20,PASSED,273,3168208620,EVALUATED
56,2015-08-25,2015-08-25,PASSED,599,3176718735,EVALUATED
57,2015-08-03,2015-08-03,INCOMPLETE,599,3176718735,EVALUATED
58,2014-12-14,2014-12-23,PASSED,639,3176718735,EVALUATED
59,2015-01-13,2015-01-26,PASSED,639,3168208620,EVALUATED
60,2015-08-19,2015-08-19,PASSED,324,3176718735,EVALUATED
61,2015-07-12,2015-07-12,PASSED,324,4576183932,EVALUATED
62,2015-07-26,2015-07-27,PASSED,324,4582204201,EVALUATED
63,2015-08-19,2015-08-19,INCOMPLETE,324,3176718735,EVALUATED
64,2015-08-10,2015-08-10,INCOMPLETE,439,3174288624,EVALUATED
65,2015-08-09,2015-08-09,INCOMPLETE,439,3174288624,EVALUATED
66,2015-05-18,2015-05-21,PASSED,439,3165188753,EVALUATED
67,2015-01-03,2015-01-07,PASSED,439,3176718735,EVALUATED
68,2015-08-09,2015-08-09,INCOMPLETE,439,3174288624,EVALUATED
69,2015-03-22,2015-03-27,PASSED,439,3168208620,EVALUATED
70,2015-08-11,2015-08-11,PASSED,439,3174288624,EVALUATED
71,2015-07-28,2015-07-29,INCOMPLETE,439,3174288624,EVALUATED
72,2015-08-06,2015-08-06,INCOMPLETE,439,3174288624,EVALUATED
73,2015-06-12,2015-06-12,INCOMPLETE,608,3176718735,EVALUATED
74,2015-06-12,2015-06-12,PASSED,608,3176718735,EVALUATED
75,2015-06-11,2015-06-11,INCOMPLETE,608,3176718735,EVALUATED
76,2015-02-16,2015-03-03,PASSED,30,3168208620,EVALUATED
77,2015-05-21,2015-05-21,PASSED,30,3165188753,EVALUATED
78,2015-02-16,2015-02-19,PASSED,30,3176718735,EVALUATED
79,2015-05-17,2015-05-21,INCOMPLETE,30,3165188753,EVALUATED
80,2015-04-10,2015-04-10,INCOMPLETE,168,3176718735,EVALUATED
81,2015-06-29,2015-06-30,PASSED,168,3168208620,EVALUATED
82,2015-05-04,2015-05-04,PASSED,168,3176718735,EVALUATED
83,2015-04-15,2015-04-15,INCOMPLETE,168,3176718735,EVALUATED
84,2015-07-26,2015-07-27,INCOMPLETE,224,3174288624,EVALUATED
85,2015-05-15,2015-05-21,PASSED,224,3165188753,EVALUATED
86,2015-08-25,2015-08-26,PASSED,224,3174288624,EVALUATED
87,2015-08-25,2015-08-25,INCOMPLETE,224,3174288624,EVALUATED
88,2015-01-11,2015-01-25,INCOMPLETE,224,3176718735,EVALUATED
89,2015-05-04,2015-05-07,INCOMPLETE,224,3165188753,EVALUATED
90,2015-03-10,2015-03-19,PASSED,224,3168208620,EVALUATED
91,2015-01-28,2015-02-11,PASSED,224,3176718735,EVALUATED
92,2015-08-02,2015-08-03,INCOMPLETE,1206,3176718735,EVALUATED
93,2015-08-24,2015-08-24,PASSED,575,3168208620,EVALUATED
94,2015-07-19,2015-07-20,PASSED,575,4576183932,EVALUATED
95,2015-07-20,2015-07-20,PASSED,575,4582204201,EVALUATED
96,2015-08-10,2015-08-10,PASSED,575,3176718735,EVALUATED
97,2015-04-16,2015-04-17,PASSED,641,3168208620,EVALUATED
98,2015-04-15,2015-04-15,INCOMPLETE,641,3176718735,EVALUATED
99,2015-05-20,2015-05-21,PASSED,641,3165188753,EVALUATED
100,2015-05-16,2015-05-21,INCOMPLETE,641,3165188753,EVALUATED
101,2015-05-06,2015-05-21,INCOMPLETE,641,3165188753,EVALUATED
102,2015-05-13,2015-05-21,PASSED,641,3184238632,EVALUATED
103,2015-04-25,2015-04-26,INCOMPLETE,641,3174288624,EVALUATED
104,2015-04-16,2015-04-16,PASSED,641,3176718735,EVALUATED
105,2015-04-15,2015-04-15,INCOMPLETE,641,3176718735,EVALUATED
106,2015-04-14,2015-04-15,INCOMPLETE,641,3168208620,EVALUATED
107,2015-04-30,2015-05-01,PASSED,641,3174288624,EVALUATED
108,2015-04-15,2015-04-15,INCOMPLETE,641,3176718735,EVALUATED
109,2015-04-13,2015-04-13,INCOMPLETE,641,3168208620,EVALUATED
110,2015-05-12,2015-05-21,INCOMPLETE,641,3165188753,EVALUATED
111,2015-04-23,2015-04-23,INCOMPLETE,641,3174288624,EVALUATED
112,2015-05-12,2015-05-21,INCOMPLETE,641,3184238632,EVALUATED
113,2015-04-08,2015-04-08,INCOMPLETE,641,3176718735,EVALUATED
114,2015-05-12,2015-05-21,INCOMPLETE,156,3165188753,EVALUATED
115,2015-05-05,2015-05-08,INCOMPLETE,156,3165188753,EVALUATED
116,2015-01-12,2015-01-26,DISTINCTION,156,3176718735,EVALUATED
117,2015-06-09,2015-06-10,INCOMPLETE,156,3165188753,EVALUATED
118,2015-03-09,2015-03-18,DISTINCTION,156,3168208620,EVALUATED
119,2015-08-02,2015-08-03,PASSED,232,3165188753,EVALUATED
120,2015-02-08,2015-02-21,PASSED,232,3176718735,EVALUATED
121,2015-07-27,2015-07-27,INCOMPLETE,232,3165188753,EVALUATED
122,2015-05-05,2015-05-05,PASSED,232,3168208620,EVALUATED
123,2015-07-24,2015-07-24,PASSED,484,3174288624,EVALUATED
124,2015-07-23,2015-07-24,INCOMPLETE,484,3174288624,EVALUATED
125,2015-06-13,2015-06-13,INCOMPLETE,484,3176718735,EVALUATED
126,2015-08-01,2015-08-07,INCOMPLETE,484,4110338963,EVALUATED
127,2015-07-22,2015-07-23,INCOMPLETE,484,3174288624,EVALUATED
128,2015-06-14,2015-06-14,PASSED,484,3176718735,EVALUATED
129,2015-06-14,2015-06-14,INCOMPLETE,484,3176718735,EVALUATED
130,2015-06-10,2015-06-11,INCOMPLETE,484,3176718735,EVALUATED
131,2015-08-11,2015-08-11,PASSED,484,4110338963,EVALUATED
132,2015-07-02,2015-07-03,INCOMPLETE,484,3168208620,EVALUATED
133,2015-06-11,2015-06-11,INCOMPLETE,484,3176718735,EVALUATED
134,2015-06-13,2015-06-13,INCOMPLETE,484,3176718735,EVALUATED
135,2015-07-03,2015-07-03,PASSED,484,3168208620,EVALUATED
136,2015-07-28,2015-07-29,PASSED,1224,4576183932,EVALUATED
137,2015-07-10,2015-07-11,PASSED,1,4576183932,EVALUATED
138,2015-05-30,2015-05-30,PASSED,1,3176718735,EVALUATED
139,2015-05-28,2015-05-28,INCOMPLETE,1,3176718735,EVALUATED
140,2014-12-30,2014-12-31,PASSED,611,3176718735,EVALUATED
141,2014-12-12,2015-01-01,PASSED,611,3174288624,EVALUATED
142,2015-01-05,2015-01-18,PASSED,611,3168208620,EVALUATED
143,2015-07-01,2015-07-03,INCOMPLETE,189,3165188753,EVALUATED
144,2015-05-28,2015-05-29,PASSED,189,3168208620,EVALUATED
145,2015-05-20,2015-05-21,PASSED,189,3176718735,EVALUATED
146,2015-08-27,2015-08-27,INCOMPLETE,491,3165188753,EVALUATED
147,2015-08-06,2015-08-06,INCOMPLETE,491,3168208620,EVALUATED
148,2015-07-26,2015-07-27,INCOMPLETE,491,3168208620,EVALUATED
149,2015-08-23,2015-08-25,INCOMPLETE,491,3165188753,EVALUATED
150,2015-06-25,2015-06-25,PASSED,491,3176718735,EVALUATED
151,2015-06-22,2015-06-22,INCOMPLETE,491,3176718735,EVALUATED
152,2015-08-07,2015-08-07,PASSED,491,3168208620,EVALUATED
153,2015-06-24,2015-06-24,INCOMPLETE,491,3176718735,EVALUATED
154,2015-06-23,2015-06-23,INCOMPLETE,491,3176718735,EVALUATED
155,2015-07-02,2015-07-02,PASSED,535,3168208620,EVALUATED
156,2015-04-01,2015-04-13,PASSED,535,3176718735,EVALUATED
157,2015-06-06,2015-06-08,PASSED,57,3165188753,EVALUATED
158,2014-12-19,2014-12-26,INCOMPLETE,57,3176718735,EVALUATED
159,2015-06-03,2015-06-05,INCOMPLETE,57,3165188753,EVALUATED
160,2015-02-10,2015-02-11,PASSED,57,3168208620,EVALUATED
161,2015-07-22,2015-07-22,INCOMPLETE,57,3174288624,EVALUATED
162,2015-01-10,2015-01-16,PASSED,57,3176718735,EVALUATED
163,2015-07-26,2015-07-26,PASSED,57,3174288624,EVALUATED
164,2015-07-22,2015-07-23,INCOMPLETE,57,3174288624,EVALUATED
165,2015-08-25,2015-08-25,PASSED,61,3165188753,EVALUATED
166,2015-08-23,2015-08-23,PASSED,61,3168208620,EVALUATED
167,2015-06-28,2015-06-28,PASSED,61,3176718735,EVALUATED
168,2015-08-24,2015-08-24,INCOMPLETE,61,3165188753,EVALUATED
169,2015-08-22,2015-08-22,INCOMPLETE,61,3168208620,EVALUATED
170,2015-06-07,2015-06-07,INCOMPLETE,61,3176718735,EVALUATED
171,2015-07-21,2015-07-21,PASSED,375,3168208620,EVALUATED
172,2015-07-20,2015-07-20,INCOMPLETE,375,3168208620,EVALUATED
173,2015-05-22,2015-05-22,PASSED,375,3176718735,EVALUATED
174,2015-05-01,2015-05-01,INCOMPLETE,375,3176718735,EVALUATED
175,2015-05-01,2015-05-01,INCOMPLETE,375,3176718735,EVALUATED
176,2015-01-29,2015-02-21,UNGRADED,130,3176718735,EVALUATED
177,2015-02-24,2015-02-24,PASSED,130,3176718735,EVALUATED
178,2015-01-12,2015-01-21,INCOMPLETE,130,3176718735,EVALUATED
179,2015-08-19,2015-08-19,INCOMPLETE,365,3168208620,EVALUATED
180,2015-08-02,2015-08-03,INCOMPLETE,365,3176718735,EVALUATED
181,2015-08-04,2015-08-04,PASSED,365,3176718735,EVALUATED
182,2015-08-19,2015-08-19,PASSED,365,3168208620,EVALUATED
183,2015-01-31,2015-02-11,INCOMPLETE,90,3176718735,EVALUATED
184,2015-01-02,2015-01-14,INCOMPLETE,90,3176718735,EVALUATED
185,2015-08-25,2015-08-27,INCOMPLETE,90,3165188753,EVALUATED
186,2015-06-02,2015-06-02,INCOMPLETE,90,3168208620,EVALUATED
187,2015-01-14,2015-01-28,INCOMPLETE,90,3176718735,EVALUATED
188,2015-02-13,2015-02-27,PASSED,90,3176718735,EVALUATED
189,2015-06-04,2015-06-04,PASSED,90,3168208620,EVALUATED
190,2015-08-26,2015-08-26,INCOMPLETE,694,4582204201,EVALUATED
191,2015-07-14,2015-07-15,PASSED,694,4576183932,EVALUATED
192,2015-06-28,2015-06-28,INCOMPLETE,84,3176718735,EVALUATED
193,2015-05-29,2015-05-29,INCOMPLETE,84,3176718735,EVALUATED
194,2015-07-01,2015-07-01,PASSED,84,3176718735,EVALUATED
195,2015-01-30,2015-02-10,PASSED,618,3176718735,EVALUATED
196,2015-01-13,2015-01-20,INCOMPLETE,712,3176718735,EVALUATED
197,2015-07-15,2015-07-15,PASSED,497,3176718735,EVALUATED
198,2015-07-05,2015-07-05,INCOMPLETE,497,3176718735,EVALUATED
199,2015-05-07,2015-05-21,INCOMPLETE,605,3176718735,EVALUATED
200,2015-03-11,2015-03-13,INCOMPLETE,605,3176718735,EVALUATED
201,2015-05-07,2015-05-21,PASSED,605,3176718735,EVALUATED
202,2015-06-04,,,313,3176718735,CREATED
203,2015-06-04,2015-06-04,INCOMPLETE,313,3176718735,EVALUATED
204,2015-05-18,2015-05-21,PASSED,313,3165188753,EVALUATED
205,2015-02-25,2015-03-02,PASSED,313,3176718735,EVALUATED
206,2015-04-08,2015-04-13,PASSED,313,3168208620,EVALUATED
207,2015-04-04,2015-04-05,INCOMPLETE,313,3168208620,EVALUATED
208,2015-03-19,2015-03-19,PASSED,537,3168208620,EVALUATED
209,2014-12-30,2015-01-13,PASSED,537,3176718735,EVALUATED
210,2015-03-04,2015-03-18,UNGRADED,537,3168208620,EVALUATED
211,2015-02-23,2015-02-24,PASSED,581,3176718735,EVALUATED
212,2015-03-24,2015-03-27,DISTINCTION,581,3168208620,EVALUATED
213,2015-06-29,2015-06-29,INCOMPLETE,581,3165188753,EVALUATED
214,2015-02-02,2015-02-16,INCOMPLETE,581,3176718735,EVALUATED
215,2015-07-03,2015-07-04,PASSED,581,3165188753,EVALUATED
216,2015-08-03,2015-08-04,INCOMPLETE,629,3176718735,EVALUATED
217,2015-08-05,2015-08-05,PASSED,629,3176718735,EVALUATED
218,2015-01-25,2015-02-07,DISTINCTION,541,3165188753,EVALUATED
219,2015-01-02,2015-01-14,INCOMPLETE,541,3176718735,EVALUATED
220,2015-02-12,2015-02-27,PASSED,541,3168208620,EVALUATED
221,2015-01-31,2015-02-13,PASSED,541,3176718735,EVALUATED
222,2015-03-27,2015-04-08,PASSED,541,3174288624,EVALUATED
223,2015-05-29,2015-06-07,PASSED,541,3184238632,EVALUATED
224,2015-04-04,2015-04-13,PASSED,207,3168208620,EVALUATED
225,2015-07-27,2015-07-29,PASSED,207,3174288624,EVALUATED
226,2015-05-20,2015-05-21,INCOMPLETE,207,3165188753,EVALUATED
227,2015-03-15,2015-03-24,INCOMPLETE,207,3168208620,EVALUATED
228,2015-07-23,2015-07-23,INCOMPLETE,207,3174288624,EVALUATED
229,2015-06-12,2015-06-12,PASSED,207,3165188753,EVALUATED
230,2015-01-09,2015-01-16,PASSED,207,3176718735,EVALUATED
231,2015-06-01,2015-06-01,PASSED,416,3176718735,EVALUATED
232,2015-05-31,2015-05-31,INCOMPLETE,416,3176718735,EVALUATED
233,2015-05-30,2015-05-30,INCOMPLETE,416,3176718735,EVALUATED
234,2015-01-22,2015-02-03,PASSED,612,3176718735,EVALUATED
235,2015-01-02,2015-01-15,INCOMPLETE,612,3176718735,EVALUATED
236,2015-05-14,2015-05-21,INCOMPLETE,258,3165188753,EVALUATED
237,2015-06-07,2015-06-08,PASSED,258,3174288624,EVALUATED
238,2015-05-21,2015-05-21,PASSED,258,3165188753,EVALUATED
239,2015-06-09,2015-06-10,INCOMPLETE,258,3184238632,EVALUATED
